candidate_id,rank,score,reasoning
CAND_0033445,37,0.845,"ML Engineer, 6.8y; Semantic Search (advanced, 46mo), 34 endorsements + BM25 (advanced, 47mo), 39 endorsements (+1 more relevant); product co. background (Vedantu). active ~24d ago, open to work, 30d notice (buyable), 94% recruiter response rate. concern: India (Ahmedabad), no relocation — may not move to Pune/Noida."
CAND_0069905,38,0.8444,"Applied ML Engineer, 6.6y; Weaviate (expert, 78mo), 20 endorsements + Sentence Transformers (expert, 55mo), 48 endorsements (+1 more relevant); product co. background (Sarvam AI). open to work, 78% recruiter response rate, India-based (Bhubaneswar), willing to relocate. concern: inactive 59d; 90d notice."
CAND_0030784,39,0.8432,"Data Scientist, 4.4y; Sentence Transformers (advanced, 51mo), 7 endorsements + Embeddings (advanced, 53mo), 9 endorsements (+1 more relevant); product co. background (Yellow.ai). active ~26d ago, open to work, 90% recruiter response rate, India-based (Delhi). concern: 90d notice."
CAND_0043228,40,0.8425,"Applied ML Engineer, 6.8y; Sentence Transformers (expert, 82mo), 53 endorsements + OpenSearch (expert, 51mo), 31 endorsements (+1 more relevant); product co. background (Vedantu). active ~28d ago, 30d notice (buyable). concern: India (Chennai), no relocation — may not move to Pune/Noida."
CAND_0005260,41,0.8417,"Senior NLP Engineer, 5.2y; Embeddings (expert, 95mo), 11 endorsements + Semantic Search (expert, 56mo), 49 endorsements (+1 more relevant); product co. background (Yellow.ai). 86% recruiter response rate, India-based (Chennai), willing to relocate. concern: inactive 40d; 60d notice."
CAND_0076163,42,0.8415,"NLP Engineer, 6.9y; Semantic Search (expert, 82mo), 53 endorsements + Elasticsearch (expert, 39mo), 14 endorsements (+1 more relevant); Ola (Transportation). open to work, 84% recruiter response rate, active GitHub (85/100). concern: inactive 40d; 60d notice; India (Chandigarh), no relocation — may not move to Pune/Noida."
CAND_0047327,43,0.8409,"Junior ML Engineer, 5.0y; OpenSearch (advanced, 37mo), 55 endorsements + Qdrant (advanced, 30mo), 14 endorsements (+1 more relevant); product co. background (Vedantu). India-based (Gurgaon). concern: inactive 47d; 60d notice."
CAND_0024990,44,0.8387,"Junior ML Engineer, 5.2y; Elasticsearch (advanced, 39mo), 19 endorsements + OpenSearch (intermediate, 26mo), 15 endorsements (+1 more relevant); Zoho (SaaS). active ~27d ago, open to work, 83% recruiter response rate, active GitHub (80/100). concern: 60d notice; India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0032527,45,0.8383,"Junior ML Engineer, 3.9y; Python (advanced, 50mo), 36 endorsements + Vector Search (advanced, 45mo), 33 endorsements (+1 more relevant); Flipkart (E-commerce). 30d notice (buyable), 81% recruiter response rate, India-based (Ahmedabad), willing to relocate, active GitHub (75/100). concern: inactive 43d."
CAND_0080766,46,0.8381,"Staff Machine Learning Engineer, 8.8y; Python (expert, 53mo), 42 endorsements + Elasticsearch (advanced, 40mo), 38 endorsements (+1 more relevant); product co. background (Aganitha). immediate joiner, India-based (Coimbatore), willing to relocate. concern: inactive 71d — possibly passive."
CAND_0083852,47,0.8361,"Data Scientist, 6.0y; Sentence Transformers (advanced, 31mo), 19 endorsements + Pinecone (advanced, 59mo) (+1 more relevant); product co. background (Mad Street Den). active ~23d ago, open to work, 85% recruiter response rate, India-based (Ahmedabad), willing to relocate, active GitHub (71/100). concern: 90d notice."
CAND_0043637,48,0.835,"Junior ML Engineer, 5.5y; Learning to Rank (advanced, 55mo), 56 endorsements + Milvus (advanced, 32mo), 17 endorsements; product co. background (Yellow.ai). active ~26d ago, open to work, 92% recruiter response rate, India-based (Delhi). concern: 45d notice."
CAND_0063736,49,0.8338,"Data Scientist, 3.7y; Information Retrieval (advanced, 57mo), 6 endorsements + RAG (advanced, 35mo), 37 endorsements (+1 more relevant); product co. background (Krutrim). active ~28d ago, open to work, 83% recruiter response rate, active GitHub (71/100). concern: 45d notice; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0039754,50,0.8337,"Senior Applied Scientist, 16.2y; Python (expert, 95mo), 44 endorsements + OpenSearch (expert, 71mo), 41 endorsements (+1 more relevant); product co. background (Observe.AI). open to work, 30d notice (buyable), 81% recruiter response rate, India-based (Indore), willing to relocate, active GitHub (78/100). concern: inactive 36d."
CAND_0062413,51,0.8337,"AI Research Engineer, 6.6y; BM25 (advanced, 49mo), 33 endorsements + Learning to Rank (advanced, 47mo), 54 endorsements (+1 more relevant); product co. background (upGrad). open to work, India-based (Mumbai). concern: inactive 74d — possibly passive; 60d notice."
CAND_0050876,52,0.8286,"Applied ML Engineer, 6.0y; Sentence Transformers (expert, 70mo), 51 endorsements + Python (expert, 66mo) (+1 more relevant); product co. background (Yellow.ai). active ~24d ago, open to work, active GitHub (86/100). concern: 90d notice; India (Kolkata), no relocation — may not move to Pune/Noida."
CAND_0054546,53,0.8263,"AI Research Engineer, 4.9y; Qdrant (advanced, 42mo), 50 endorsements + BM25 (advanced, 24mo), 56 endorsements (+1 more relevant); product co. background (Razorpay). active ~26d ago, open to work, 92% recruiter response rate, India-based (Pune), active GitHub (75/100). concern: 90d notice."
CAND_0055905,54,0.8251,"Senior Machine Learning Engineer, 8.1y; Elasticsearch (expert, 80mo), 23 endorsements + Embeddings (expert, 75mo), 17 endorsements (+1 more relevant); Flipkart (E-commerce). open to work, 30d notice (buyable), 87% recruiter response rate. concern: inactive 33d; outside India (UK), no relocation — JD case-by-case."
CAND_0015582,55,0.8249,"ML Engineer, 4.4y; Qdrant (advanced, 33mo), 5 endorsements + Embeddings (intermediate, 28mo), 11 endorsements (+1 more relevant); consulting background (TCS) — flag. active ~26d ago, open to work, 82% recruiter response rate, India-based (Trivandrum), willing to relocate. concern: 120d notice — long."
CAND_0017093,56,0.8246,"ML Engineer, 5.9y; BM25 (advanced, 41mo), 49 endorsements + Embeddings (advanced, 29mo), 35 endorsements (+1 more relevant); product co. background (Wysa). active ~30d ago, open to work, 30d notice (buyable), India-based (Hyderabad), active GitHub (84/100)."
CAND_0020991,57,0.8217,"Junior ML Engineer, 4.9y; OpenSearch (advanced, 24mo), 20 endorsements + Semantic Search (intermediate, 22mo), 13 endorsements (+1 more relevant); PhonePe (Fintech). active ~24d ago, open to work, 88% recruiter response rate, India-based (Vizag), willing to relocate, active GitHub (65/100). concern: 120d notice — long."
CAND_0066690,58,0.821,"ML Engineer, 4.8y; Pinecone (intermediate, 31mo), 11 endorsements + Semantic Search (intermediate, 14mo), 10 endorsements (+1 more relevant); Freshworks (SaaS). active ~23d ago, open to work, 30d notice (buyable), 88% recruiter response rate, India-based (Gurgaon)."
CAND_0058688,59,0.8197,"AI Engineer, 6.7y; Milvus (expert, 86mo), 12 endorsements + Embeddings (expert, 69mo), 14 endorsements (+1 more relevant); product co. background (Vedantu). open to work, 15d notice (buyable). concern: inactive 83d — possibly passive; outside India (Germany), willing to relocate."
CAND_0007596,60,0.8184,"Junior ML Engineer, 4.4y; Python (intermediate, 32mo), 11 endorsements + Semantic Search (intermediate, 28mo), 10 endorsements (+1 more relevant); product co. background (Meesho). active ~28d ago, open to work, 86% recruiter response rate, India-based (Delhi). concern: 45d notice."
CAND_0015065,61,0.8163,"AI Research Engineer, 3.9y; Information Retrieval (advanced, 57mo), 38 endorsements + Learning to Rank (advanced, 24mo), 51 endorsements (+1 more relevant); product co. background (Nykaa). open to work, 84% recruiter response rate, India-based (Delhi). concern: inactive 38d; 90d notice."
CAND_0028422,62,0.8161,"Junior ML Engineer, 5.5y; Learning to Rank (advanced, 53mo), 34 endorsements + OpenSearch (intermediate, 34mo), 6 endorsements (+1 more relevant); product co. background (Yellow.ai). open to work, 76% recruiter response rate, active GitHub (72/100). concern: inactive 35d; 90d notice; India (Chennai), no relocation — may not move to Pune/Noida."
CAND_0018701,63,0.8156,"Junior ML Engineer, 6.0y; Information Retrieval (advanced, 44mo), 14 endorsements + BM25 (advanced, 43mo), 52 endorsements (+1 more relevant); product co. background (Krutrim). open to work, India-based (Delhi). concern: inactive 62d — possibly passive; 60d notice."
CAND_0032216,64,0.8156,"ML Engineer, 6.1y; Learning to Rank (advanced, 31mo), 38 endorsements + Information Retrieval (advanced, 29mo), 44 endorsements (+1 more relevant); product co. background (upGrad). open to work, 30d notice (buyable), India-based (Chennai), willing to relocate. concern: inactive 56d."
CAND_0064888,65,0.8145,"ML Engineer, 5.8y; Embeddings (intermediate, 30mo), 13 endorsements + Elasticsearch (intermediate, 32mo), 9 endorsements (+1 more relevant); product co. background (Verloop.io). active ~25d ago, open to work, 30d notice (buyable), 92% recruiter response rate, India-based (Vizag), willing to relocate."
CAND_0096801,66,0.8138,"AI Research Engineer, 4.2y; FAISS (advanced, 55mo), 42 endorsements + Weaviate (advanced, 48mo) (+1 more relevant); product co. background (CRED). open to work, 30d notice (buyable). concern: inactive 52d; India (Kolkata), no relocation — may not move to Pune/Noida."
CAND_0075249,67,0.8127,"Applied ML Engineer, 6.2y; Milvus (expert, 77mo), 17 endorsements + Sentence Transformers (expert, 68mo), 12 endorsements (+1 more relevant); product co. background (upGrad). open to work, 82% recruiter response rate. concern: inactive 71d — possibly passive; 45d notice; India (Ahmedabad), no relocation — may not move to Pune/Noida."
CAND_0060054,68,0.8113,"AI Engineer, 6.4y; Semantic Search (expert, 70mo), 19 endorsements + Elasticsearch (expert, 53mo), 17 endorsements (+1 more relevant); product co. background (Mad Street Den). 15d notice (buyable), 86% recruiter response rate, India-based (Jaipur), willing to relocate. concern: inactive 94d — likely passive/unavailable."
CAND_0098217,69,0.8113,"ML Engineer, 6.4y; Pinecone (advanced, 53mo), 21 endorsements + Learning to Rank (intermediate, 34mo), 6 endorsements (+1 more relevant); product co. background (Glance). open to work, 84% recruiter response rate, India-based (Noida), active GitHub (81/100). concern: inactive 103d — likely passive/unavailable; 45d notice."
CAND_0089947,70,0.8103,"Junior ML Engineer, 5.4y; Elasticsearch (advanced, 49mo), 23 endorsements + Information Retrieval (advanced, 47mo), 35 endorsements (+1 more relevant); Saarthi.ai (Voice AI). active ~30d ago, India-based (Noida). concern: 90d notice."
CAND_0093912,71,0.8099,"Senior Data Scientist, 5.3y; Vector Search (expert, 80mo), 35 endorsements + Elasticsearch (expert, 77mo), 50 endorsements (+1 more relevant); product co. background (Razorpay). open to work, 30d notice (buyable), active GitHub (82/100). concern: inactive 39d; India (Chandigarh), no relocation — may not move to Pune/Noida."
CAND_0018888,72,0.8088,"AI Research Engineer, 6.5y; Information Retrieval (advanced, 51mo), 21 endorsements + FAISS (advanced, 49mo), 11 endorsements; product co. background (Razorpay). active ~23d ago, 30d notice (buyable), India-based (Noida)."
CAND_0081053,73,0.808,"NLP Engineer, 5.4y; Semantic Search (expert, 84mo), 31 endorsements + Weaviate (expert, 77mo), 47 endorsements (+1 more relevant); product co. background (Glance). open to work, 83% recruiter response rate, India-based (Chandigarh), willing to relocate, active GitHub (78/100). concern: inactive 80d — possibly passive; 90d notice."
CAND_0044222,74,0.8079,"AI Engineer, 7.7y; OpenSearch (expert, 75mo), 34 endorsements + Qdrant (advanced, 26mo), 31 endorsements (+1 more relevant); PolicyBazaar (Insurance Tech). open to work. concern: inactive 35d; 60d notice; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0045475,75,0.8079,"ML Engineer, 4.9y; FAISS (advanced, 56mo), 23 endorsements + Pinecone (advanced, 46mo), 58 endorsements (+1 more relevant); product co. background (Razorpay). open to work, India-based (Delhi). concern: inactive 38d; 60d notice."
CAND_0034164,76,0.8066,"Data Scientist, 3.6y; Weaviate (advanced, 46mo), 24 endorsements + Pinecone (advanced, 32mo), 17 endorsements (+1 more relevant); product co. background (Haptik). active ~27d ago, open to work, 84% recruiter response rate, India-based (Hyderabad). concern: 90d notice."
CAND_0071974,77,0.8059,"Senior AI Engineer, 7.8y; Elasticsearch (expert, 96mo), 44 endorsements + Qdrant (expert, 68mo), 53 endorsements (+1 more relevant); product co. background (Mad Street Den). open to work, 76% recruiter response rate, active GitHub (83/100). concern: inactive 64d — possibly passive; 45d notice; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0036184,78,0.8058,"Recommendation Systems Engineer, 6.0y; Sentence Transformers (expert, 94mo), 12 endorsements + Embeddings (expert, 67mo), 7 endorsements (+1 more relevant); product co. background (CRED). active ~24d ago, open to work, 30d notice (buyable), 90% recruiter response rate. concern: India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0072660,79,0.8057,"Machine Learning Engineer, 7.1y; Information Retrieval (expert, 79mo), 52 endorsements + Python (expert, 67mo), 19 endorsements (+1 more relevant); product co. background (Glance). active ~26d ago, open to work, 30d notice (buyable). concern: outside India (Germany), no relocation — JD case-by-case."
CAND_0019159,80,0.8049,"ML Engineer, 6.1y; Qdrant (advanced, 56mo), 55 endorsements + Milvus (advanced, 20mo), 13 endorsements (+1 more relevant); product co. background (Observe.AI). 75% recruiter response rate. concern: inactive 38d; 45d notice; outside India (USA), willing to relocate."
CAND_0010685,81,0.8048,"NLP Engineer, 6.7y; Elasticsearch (expert, 78mo), 51 endorsements + RAG (expert, 59mo), 53 endorsements (+1 more relevant); product co. background (Mad Street Den). open to work, 30d notice (buyable), 83% recruiter response rate. concern: inactive 95d — likely passive/unavailable; India (Kolkata), no relocation — may not move to Pune/Noida."
CAND_0030953,82,0.8016,"Search Engineer, 7.8y; Qdrant (expert, 86mo), 31 endorsements + RAG (expert, 47mo), 44 endorsements (+1 more relevant); product co. background (Nykaa). concern: inactive 69d — possibly passive; 45d notice; India (Chennai), no relocation — may not move to Pune/Noida."
CAND_0091890,83,0.7996,"AI Research Engineer, 4.7y; OpenSearch (advanced, 48mo), 37 endorsements + Elasticsearch (advanced, 38mo), 55 endorsements (+1 more relevant); product co. background (Verloop.io). open to work, India-based (Hyderabad), active GitHub (83/100). concern: inactive 36d; 60d notice."
CAND_0071939,84,0.7993,"Data Scientist, 6.4y; Qdrant (advanced, 35mo), 26 endorsements + OpenSearch (advanced, 43mo), 13 endorsements (+1 more relevant); product co. background (Krutrim). open to work, 30d notice (buyable), India-based (Pune). concern: inactive 88d — possibly passive."
CAND_0073982,85,0.799,"Data Scientist, 7.0y; RAG (advanced, 45mo), 5 endorsements + Elasticsearch (advanced, 23mo), 33 endorsements (+1 more relevant); product co. background (Locobuzz). open to work, India-based (Delhi). concern: inactive 34d; 60d notice."
CAND_0075439,86,0.7988,"Machine Learning Engineer, 4.3y; Learning to Rank (expert, 53mo), 9 endorsements + Elasticsearch (expert, 88mo), 6 endorsements (+1 more relevant); Flipkart (E-commerce). 30d notice (buyable), active GitHub (66/100). concern: inactive 43d; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0051292,87,0.7986,"Applied ML Engineer, 5.2y; RAG (expert, 86mo), 59 endorsements + Vector Search (expert, 43mo), 36 endorsements (+1 more relevant); product co. background (Vedantu). open to work, 30d notice (buyable), active GitHub (62/100). concern: inactive 68d — possibly passive; India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0096172,88,0.7986,"NLP Engineer, 5.2y; Qdrant (expert, 76mo), 32 endorsements + Elasticsearch (expert, 71mo), 39 endorsements (+1 more relevant); product co. background (Krutrim). active GitHub (65/100). concern: inactive 47d; 45d notice; India (Chennai), no relocation — may not move to Pune/Noida."
CAND_0087630,89,0.7977,"AI Engineer, 7.2y; Sentence Transformers (expert, 74mo), 51 endorsements + OpenSearch (expert, 36mo), 52 endorsements (+1 more relevant); product co. background (Vedantu). 30d notice (buyable), India-based (Gurgaon). concern: inactive 95d — likely passive/unavailable."
CAND_0077498,90,0.7976,"Senior Software Engineer (ML), 5.4y; BM25 (advanced, 51mo), 40 endorsements + Milvus (intermediate, 25mo), 12 endorsements (+1 more relevant); product co. background (Niramai). active ~24d ago, open to work, 89% recruiter response rate. concern: 60d notice; India (Ahmedabad), no relocation — may not move to Pune/Noida."
CAND_0042029,91,0.7967,"Senior Data Scientist, 6.5y; RAG (expert, 72mo), 18 endorsements + OpenSearch (expert, 96mo), 8 endorsements (+1 more relevant); product co. background (Observe.AI). India-based (Delhi), active GitHub (79/100). concern: inactive 67d — possibly passive; 45d notice."
CAND_0073504,92,0.7964,"Junior ML Engineer, 6.6y; RAG (advanced, 43mo), 22 endorsements + Vector Search (advanced, 43mo), 60 endorsements (+1 more relevant); PolicyBazaar (Insurance Tech). open to work, 78% recruiter response rate, India-based (Gurgaon), active GitHub (62/100). concern: inactive 66d — possibly passive; 60d notice."
CAND_0067866,93,0.7963,"Senior Software Engineer (ML), 6.4y; Embeddings (advanced, 50mo), 32 endorsements + Elasticsearch (advanced, 47mo), 38 endorsements (+1 more relevant); consulting background (Tech Mahindra) — flag. active ~28d ago, open to work, 79% recruiter response rate, India-based (Noida). concern: 45d notice."
CAND_0035879,94,0.796,"AI Research Engineer, 4.5y; Python (advanced, 52mo), 44 endorsements + BM25 (intermediate, 32mo), 5 endorsements (+1 more relevant); product co. background (Krutrim). active ~24d ago, open to work, 82% recruiter response rate, India-based (Noida), active GitHub (84/100). concern: 120d notice — long."
CAND_0013536,95,0.7958,"Applied ML Engineer, 14.1y; Vector Search (expert, 75mo), 25 endorsements + Elasticsearch (expert, 71mo), 43 endorsements (+1 more relevant); product co. background (Haptik). open to work, 87% recruiter response rate. concern: inactive 52d; 90d notice; India (Trivandrum), no relocation — may not move to Pune/Noida."
